edad,genero,estado_civil,etnia,sector_procedencia,provincia_nacimiento,trabaja,ingreso_estudiante,numero_hijos,tipo_colegio,ciclo,PERDIDAS,INGENIERIA DE LA CONTAMINACION,ECUACIONES DIFERENCIALES,ESTRUCTURAS DE DATOS AVANZADAS,PROCESAMIENTO DE TRANSACCIONES,PROCESOS DE SOFTWARE
23,0,1,1,0,11,0,0,0,2,4,2,1,0,0,1,1
21,0,1,1,0,11,0,0,0,2,4,0,1,1,1,1,1
21,1,1,1,0,11,0,0,0,2,4,3,1,0,0,1,1
19,0,1,1,1,11,0,0,0,2,4,0,1,1,1,1,1
25,0,1,1,0,7,0,0,0,2,4,0,1,1,1,1,1
22,0,1,1,0,11,0,0,0,2,4,0,1,1,1,1,1
22,0,1,1,1,11,0,0,0,2,4,0,1,1,1,1,1
24,0,1,1,0,11,0,0,0,3,4,0,1,1,1,1,1
22,0,1,1,0,11,1,1,0,2,4,1,1,0,1,1,1
21,0,1,1,0,11,0,0,0,1,4,0,1,1,1,1,1
21,0,1,1,0,11,0,0,0,2,4,0,1,1,1,1,1
26,0,0,1,1,19,0,1,1,2,4,2,1,0,0,1,1
22,0,1,1,0,11,0,0,0,2,4,0,1,1,1,1,1
24,0,1,1,0,11,0,0,0,2,4,0,1,1,1,1,1
23,0,1,1,0,23,0,0,0,2,4,2,1,0,0,1,1
25,0,1,1,1,11,0,1,0,1,4,0,1,1,1,1,1
35,0,1,1,0,11,1,1,0,1,4,1,1,1,0,1,1
22,0,1,1,0,11,0,0,0,2,4,0,1,1,1,1,1
23,0,1,1,0,19,0,0,0,2,4,0,1,1,1,1,1
34,1,1,1,0,11,1,1,1,2,4,0,1,1,1,1,1
21,0,1,1,0,11,0,0,0,2,4,0,1,1,1,1,1
23,0,1,1,0,11,0,0,0,2,4,1,1,1,0,1,1
23,1,1,1,0,7,0,0,0,2,4,2,1,0,0,1,1
